No,ref_path,opt input T_init,opt output T_out,opt output cmp_spd,opt output pmp_spd,model sim T_init,model sim T_out,control T_init,control T_out,,
2580,35,35,34.965,0,0,35,35.0247,34.4397,34.4646,,
2610,35,35,34.9654,0,0,35,35.0251,34.9646,34.9897,,
2640,35,36,34.5318,4916.8,100,36,34.6783,35.4897,34.1445,,
2670,35,35,34.9662,0,0,35,35.0259,34.6445,34.6706,,
2700,35,36,34.5327,4916.8,100,36,34.6792,35.1706,33.8264,,
2730,35,35,34.9671,0,0,35,35.0267,34.3264,34.3533,,
2760,35,35,34.9675,0,0,35,35.0272,34.8533,34.8805,,
2790,35,36,34.521,4916.8,100,36,34.6675,35.3805,34.0245,,
2820,35,35,35.0059,0,0,35,35.0065,34.5245,34.5311,,
2850,35,36,34.5324,4916.8,100,36,34.6595,35.0311,33.667,,
2880,35,35,35.006,0,0,35,35.0066,34.167,34.1736,,
2910,35,35,35.006,0,0,35,35.0066,34.6736,34.6803,,
2940,35,36,34.5325,4916.8,100,36,34.6596,35.1803,33.8164,,
2970,35,35,35.0061,0,0,35,35.0067,34.3164,34.3231,,
